Date,USDRUR,IP,CPI,HPI,UR,IRS,GDP,DR
2007-01-01,26.4465,0.097,0.08199999999999999,,0.06649496147828089,,,
2007-02-01,26.5484,0.071,0.076,,0.06742280753974546,,,
2007-03-01,26.1481,0.068,0.07400000000000001,,0.06492572641588283,,,
2007-04-01,25.9947,0.069,0.076,,0.06198952249861971,,,
2007-05-01,25.7564,0.069,0.078,,0.060496819305185516,,,
2007-06-01,25.9043,0.073,0.085,,0.06027514628503541,,,
2007-07-01,25.7288,0.091,0.087,,0.058934790409056186,,,
2007-08-01,25.5448,0.064,0.086,,0.05914149522466204,,,
2007-09-01,25.6262,0.048,0.09300000000000001,,0.058926347361854294,,,
2007-10-01,24.8784,0.057,0.10800000000000001,,0.058038597544259406,,,
2007-11-01,24.6724,0.061,0.115,,0.057520410621930376,,,
2007-12-01,24.4171,0.05,0.11900000000000001,,0.06049634079193296,,,
2008-01-01,24.4387,0.067,0.126,,0.061812217712204784,,,
2008-02-01,24.4262,0.081,0.127,,0.066486379657249,,,
2008-03-01,24.0023,0.035,0.133,,0.06206135613282917,,,
2008-04-01,23.5027,0.057,0.14300000000000002,,0.05811517734245598,,,
2008-05-01,23.6588,0.045,0.151,,0.05536997021152573,,,
2008-06-01,23.7473,0.028,0.151,,0.05819669296486177,,,
2008-07-01,23.4068,0.019,0.147,,0.058934790409056186,,,
2008-08-01,23.4186,0.01,0.15,,0.06125369148268569,,,
2008-09-01,24.667,0.028,0.151,,0.06523988457919583,,,
2008-10-01,25.3718,-0.016,0.142,,0.0672025866301951,,,
2008-11-01,27.0981,-0.125,0.138,,0.07063910076377415,,,
2008-12-01,27.9409,-0.128,0.133,,0.0773559767503405,0.014000000000000012,,
2009-01-01,29.3916,-0.169,0.133,,0.08147974152972448,0.032,,
2009-02-01,36.1767,-0.167,0.139,,0.08802422095466769,0.017000000000000015,,
2009-03-01,36.1644,-0.132,0.14,,0.08784068868031206,-0.0030000000000000027,,
2009-04-01,33.9032,-0.142,0.132,,0.08620417972464303,-0.0040000000000000036,,
2009-05-01,32.974,-0.145,0.12300000000000001,,0.08715643459221643,-0.0030000000000000027,,
2009-06-01,30.7441,-0.12,0.11900000000000001,-0.10661,0.08625581278720584,-0.0040000000000000036,-0.09397149205,0.07014541522242435
2009-07-01,31.0385,-0.098,0.12,-0.133453999,0.08374943900234301,-0.010000000000000009,-0.0905562761327283,0.06343677645830868
2009-08-01,31.1533,-0.107,0.11599999999999999,-0.149757839,0.08237565406292213,-0.010000000000000009,-0.084785577658546,0.06268877366309855
2009-09-01,31.8397,-0.084,0.107,-0.157354,0.07997147141965939,-0.006000000000000005,-0.0764863958,0.062095178341321604
2009-10-01,30.0087,-0.056,0.09699999999999999,-0.157705612,0.07840301773522762,-0.018000000000000016,-0.0658093545540668,0.055346351599266735
2009-11-01,29.1944,0.049,0.091,-0.154348361,0.08274866089470687,-0.004999999999999977,-0.0517965918030594,0.0513086990969343
2009-12-01,29.0687,0.069,0.08800000000000001,-0.142641,0.08132294991702464,-0.0010000000000000286,-0.03511662307,0.0475288688757599
2010-01-01,30.1851,0.085,0.08,-0.116419285,0.0861624852958006,-0.005999999999999978,-0.0149872518078173,0.04450099045587577
2010-02-01,30.3996,0.073,0.07200000000000001,-0.083018213,0.08053279789469597,-0.014999999999999986,0.00546318565705965,0.04255528033641219
2010-03-01,29.93,0.093,0.065,-0.04792,0.08211194811420473,-0.010999999999999996,0.02154681118,0.041348950587475126
2010-04-01,29.4956,0.074,0.06,-0.019651022,0.07942407570135651,-0.013999999999999999,0.0344477371234105,0.040056171936533255
2010-05-01,29.1537,0.081,0.06,0.001930324,0.07485199676743293,-0.010999999999999996,0.0422997589818615,0.03794952003637012
2010-06-01,30.74,0.073,0.057,0.015238,0.07066741288590359,-0.0030000000000000027,0.04651978456,0.03469926866949407
2010-07-01,31.2554,0.046,0.055,0.021259539,0.07237605839708655,-0.010000000000000009,0.0477970120917175,0.03069602223360981
2010-08-01,30.1861,0.069,0.06,0.027974165,0.07181467277280391,-0.01899999999999999,0.0476773389319136,0.02641643561338105
2010-09-01,30.8669,0.062,0.07,0.043802,0.06944890939075685,-0.013000000000000012,0.04769842874,0.02219315659294131
2010-10-01,30.5126,0.072,0.075,0.071530968,0.06923902864929193,-0.02099999999999999,0.0488616531483974,0.018554815098779813
